,size,avg,pr,slope,interaction
212,500,14.0,0.5,0.3679500243346119,random
213,500,14.0,0.5,0.4131109455463607,ordered
214,500,14.0,0.5,0.36684134310399996,degree
215,500,14.0,0.5,0.40779455402054576,distance
216,500,14.0,0.0,0.010972336132121535,random
217,500,14.0,0.0,0.010021211123239393,ordered
218,500,14.0,0.0,0.009204732064054925,degree
219,500,14.0,0.0,0.011626948205064502,distance
220,500,14.0,0.1,0.084506108243346,random
221,500,14.0,0.1,0.08926248781807092,ordered
222,500,14.0,0.1,0.08784680244676255,degree
223,500,14.0,0.1,0.16810492320204198,distance
224,500,14.0,0.2,0.1550550531196887,random
225,500,14.0,0.2,0.17218277814417074,ordered
226,500,14.0,0.2,0.1580260786109551,degree
227,500,14.0,0.2,0.27216675865873075,distance
228,500,14.0,0.30000000000000004,0.24123282009008645,random
229,500,14.0,0.30000000000000004,0.2647573855071477,ordered
230,500,14.0,0.30000000000000004,0.23753995443679746,degree
231,500,14.0,0.30000000000000004,0.34171076718503035,distance
232,500,14.0,0.4,0.30756679176368784,random
233,500,14.0,0.4,0.3445062609502084,ordered
234,500,14.0,0.4,0.30734424063327015,degree
235,500,14.0,0.4,0.37610790355137913,distance
236,500,14.0,0.5,0.37539536581140615,random
237,500,14.0,0.5,0.43429405403426247,ordered
238,500,14.0,0.5,0.3811470607748589,degree
239,500,14.0,0.5,0.4162049769615591,distance
240,500,16.0,0.0,0.00970783927108577,random
241,500,16.0,0.0,0.009846388350781247,ordered
242,500,16.0,0.0,0.010483660861704158,degree
243,500,16.0,0.0,0.010694650565751408,distance
244,500,16.0,0.1,0.09225675572336925,random
245,500,16.0,0.1,0.09722292614573602,ordered
246,500,16.0,0.1,0.09284304165451397,degree
247,500,16.0,0.1,0.20138916922197456,distance
248,500,16.0,0.2,0.18023456849315805,random
249,500,16.0,0.2,0.191291273324713,ordered
250,500,16.0,0.2,0.17452254205011247,degree
251,500,16.0,0.2,0.28899547265360803,distance
252,500,16.0,0.30000000000000004,0.24381541282849165,random
253,500,16.0,0.30000000000000004,0.27198840880539155,ordered
254,500,16.0,0.30000000000000004,0.2484085393561771,degree
255,500,16.0,0.30000000000000004,0.36819694110209744,distance
256,500,16.0,0.4,0.3250128827783724,random
257,500,16.0,0.4,0.35414045827702134,ordered
258,500,16.0,0.4,0.31863404192280975,degree
259,500,16.0,0.4,0.4102331455159708,distance
260,500,16.0,0.5,0.3724896702100714,random
261,500,16.0,0.5,0.4113532616776808,ordered
