,size,avg,pc,cl,count_p,count_c,slope,interaction
342,500,13.752,0.8,0.2803766301066147,1102,2349,0.2927564351878753,degree
343,500,13.752,0.8,0.2803766301066147,1102,2349,0.2992815897811463,distance
344,500,13.748,0.85,0.30732380493513767,924,2527,0.23463870089769023,random
345,500,13.748,0.85,0.30732380493513767,924,2527,0.26217510706573266,ordered
346,500,13.748,0.85,0.30732380493513767,924,2527,0.2521826675216922,degree
347,500,13.748,0.85,0.30732380493513767,924,2527,0.2547369560796896,distance
348,500,13.784,0.9,0.32556574037734326,800,2651,0.18714327092589506,random
349,500,13.784,0.9,0.32556574037734326,800,2651,0.20057129198153398,ordered
350,500,13.784,0.9,0.32556574037734326,800,2651,0.2034851205868513,degree
351,500,13.784,0.9,0.32556574037734326,800,2651,0.1988033343633229,distance
352,500,13.764,0.95,0.33771752408665046,690,2761,0.18858180506165673,random
353,500,13.764,0.95,0.33771752408665046,690,2761,0.20216507944426762,ordered
354,500,13.764,0.95,0.33771752408665046,690,2761,0.21137122291751412,degree
355,500,13.764,0.95,0.33771752408665046,690,2761,0.19531373252218,distance
356,500,13.788,1,0.41558511467325554,524,2927,0.07138383239420593,random
357,500,13.788,1,0.41558511467325554,524,2927,0.07458760064130333,ordered
358,500,13.788,1,0.41558511467325554,524,2927,0.10107061070046144,degree
359,500,13.788,1,0.41558511467325554,524,2927,0.07626615413739363,distance
360,500,15.744,0.0,0.08017333058256763,3936,0,0.39725508151581174,random
361,500,15.744,0.0,0.08017333058256763,3936,0,0.44824015759822605,ordered
362,500,15.744,0.0,0.08017333058256763,3936,0,0.3751120748819902,degree
363,500,15.744,0.0,0.08017333058256763,3936,0,0.4003859962052584,distance
364,500,15.652,0.2,0.140933749679481,3233,703,0.38116226941329046,random
365,500,15.652,0.2,0.140933749679481,3233,703,0.4342591991052659,ordered
366,500,15.652,0.2,0.140933749679481,3233,703,0.3708176258120224,degree
367,500,15.652,0.2,0.140933749679481,3233,703,0.3740056967238545,distance
