,size,avg,pc,cl,count_p,count_c,slope
1019,130.0,21.4,0.2,0.31074749137190216,1171.0,245.0,0.44303177967049845
1020,130.0,21.338461538461537,0.4,0.30485328083538127,911.0,505.0,0.44262720203227623
1021,130.0,21.29230769230769,0.6,0.3364203943457643,692.0,724.0,0.4311344142766833
1022,130.0,21.53846153846154,0.8,0.3642777886305025,424.0,992.0,0.4112921874135987
1023,130.0,21.646153846153847,0.85,0.3903415849293254,368.0,1048.0,0.4155198933647449
1024,130.0,21.553846153846155,0.9,0.4027342277503289,307.0,1109.0,0.3428293667615293
1025,130.0,21.692307692307693,0.95,0.47650759225559375,267.0,1149.0,0.324489495874904
1026,130.0,21.76923076923077,1.0,0.5907670122400828,203.0,1213.0,0.16237150152617136
1027,264.0,11.727272727272727,0.0,0.11093196799330862,1548.0,0.0,0.36300004651454615
1028,264.0,11.681818181818182,0.2,0.1778724042116023,1306.0,242.0,0.35631083524733975
1029,264.0,11.575757575757576,0.4,0.2327760710317445,1025.0,523.0,0.33355870535954224
1030,264.0,11.598484848484848,0.6,0.2592254858559424,785.0,763.0,0.3243078821753128
1031,264.0,11.674242424242424,0.8,0.3307821344294272,540.0,1008.0,0.22930990394608947
1032,264.0,11.68939393939394,0.85,0.33839703147838424,474.0,1074.0,0.23302161579158912
1033,264.0,11.696969696969697,0.9,0.369893924976414,385.0,1163.0,0.17045409214188498
1034,264.0,11.704545454545455,0.95,0.38888109821978,342.0,1206.0,0.16863999064607643
1035,264.0,11.712121212121213,1.0,0.4416692251444823,279.0,1269.0,0.08556303143831898
1036,549.0,7.941712204007286,0.0,0.045106724889616985,2180.0,0.0,0.2788661673161858
1037,549.0,7.930783242258652,0.2,0.1376153669835387,1860.0,320.0,0.2606621469669792
1038,549.0,7.916211293260473,0.4,0.19826503494329195,1563.0,617.0,0.23677481336238584
1039,549.0,7.919854280510018,0.6,0.29838558434625073,1171.0,1009.0,0.20596426188429756
1040,549.0,7.927140255009108,0.8,0.3724316373420756,889.0,1291.0,0.13696788685541186
1041,549.0,7.930783242258652,0.85,0.4047444498398164,788.0,1392.0,0.13377650196026422
1042,549.0,7.927140255009108,0.9,0.4262560076739615,726.0,1454.0,0.10202623056813127
1043,549.0,7.934426229508197,0.95,0.4814015346235764,633.0,1547.0,0.04561731940213652
1044,549.0,7.941712204007286,1.0,0.4957554079829766,553.0,1627.0,0.0497827398871842
1045,716.0,36.99162011173184,0.0,0.1122861814925073,13243.0,0.0,0.44536026716090626
1046,716.0,36.71787709497207,0.2,0.18172758253310392,10710.0,2533.0,0.4185550490816191
1047,716.0,36.460893854748605,0.4,0.2077284198900939,8253.0,4990.0,0.43325268094930197
1048,716.0,36.47206703910614,0.6,0.19847349619143376,5774.0,7469.0,0.43253410787861907
1049,716.0,36.61731843575419,0.8,0.1865499220171854,3395.0,9848.0,0.4400518524226234
1050,716.0,36.79608938547486,0.85,0.20160094257371564,2671.0,10572.0,0.44335937257261976
1051,716.0,36.81843575418994,0.9,0.20971244675279757,2075.0,11168.0,0.4289135033782179
1052,716.0,36.874301675977655,0.95,0.29072170455093016,1488.0,11755.0,0.3279789868580315
1053,716.0,36.95530726256983,1.0,0.41211123384504433,924.0,12319.0,0.10097838816450815
1054,863.0,52.31054461181923,0.0,0.12755188869414028,22572.0,0.0,0.45076250914586574
1055,863.0,51.758980301274626,0.2,0.17780307118471858,18264.0,4308.0,0.4449284005791843
1056,863.0,51.41367323290846,0.4,0.20217714954501778,13984.0,8588.0,0.4425686809867469
1057,863.0,51.552723059096174,0.6,0.17955032607114532,9690.0,12882.0,0.44755334608997177
1058,863.0,51.91425260718424,0.8,0.1704235588842754,5456.0,17116.0,0.4524644151153575
1059,863.0,51.993047508690616,0.85,0.17489169449021405,4410.0,18162.0,0.4501239999464451
1060,863.0,52.074159907300114,0.9,0.18732283339849723,3334.0,19238.0,0.4550029970893742
1061,863.0,52.162224797219004,0.95,0.23102846230716192,2300.0,20272.0,0.4402923400069304
1062,863.0,52.294322132097335,1.0,0.41143116185834494,1264.0,21308.0,0.09311976810258092
1063,198.0,5.909090909090909,0.0,0.09151245329486636,585.0,0.0,0.23652044709519848
1064,198.0,5.909090909090909,0.2,0.17719763893238086,514.0,71.0,0.204688617650402
1065,198.0,5.898989898989899,0.4,0.28519118533893506,433.0,152.0,0.18772973222302394
1066,198.0,5.909090909090909,0.6,0.3729004657950199,331.0,254.0,0.13106840427972127
1067,198.0,5.898989898989899,0.8,0.45997415215145265,282.0,303.0,0.12592404149680353
1068,198.0,5.909090909090909,0.85,0.5189487092595012,247.0,338.0,0.08276255073330635
1069,198.0,5.909090909090909,0.9,0.5244540100189079,238.0,347.0,0.08225131609367561
1070,198.0,5.909090909090909,0.95,0.5470088269983269,220.0,365.0,0.09332230464616752
1071,198.0,5.898989898989899,1.0,0.5989117370267872,199.0,386.0,0.03480744598959977
1072,906.0,21.73289183222958,0.0,0.06758992522934316,9845.0,0.0,0.4144991626620239
1073,906.0,21.631346578366447,0.2,0.11284146281866762,8050.0,1795.0,0.4088203984288211
1074,906.0,21.59381898454746,0.4,0.1413447030295253,6252.0,3593.0,0.39768226870742485
1075,906.0,21.56512141280353,0.6,0.16515091965288695,4504.0,5341.0,0.40747020422822855
1076,906.0,21.637969094922738,0.8,0.19178652167391136,2726.0,7119.0,0.38884509127745204
1077,906.0,21.67549668874172,0.85,0.20313106900076627,2302.0,7543.0,0.35970503829263617
1078,906.0,21.68653421633554,0.9,0.22305892693797247,1865.0,7980.0,0.30981825507808186
1079,906.0,21.706401766004415,0.95,0.2624222800549874,1405.0,8440.0,0.2177607709244087
1080,906.0,21.728476821192054,1.0,0.35743125336580084,968.0,8877.0,0.03663721320505131
1081,231.0,9.783549783549784,0.0,0.1231576021212992,1130.0,0.0,0.32610486068320094
1082,231.0,9.74025974025974,0.2,0.19890428527026444,940.0,190.0,0.3142829246905261
1083,231.0,9.731601731601732,0.4,0.23884936616319916,781.0,349.0,0.2848711350197753
1084,231.0,9.74025974025974,0.6,0.3101912627527498,613.0,517.0,0.2687381867269935
1085,231.0,9.705627705627705,0.8,0.36334793147419947,416.0,714.0,0.21831469491082559
1086,231.0,9.74025974025974,0.85,0.3758633549867508,361.0,769.0,0.18402190301073915
1087,231.0,9.783549783549784,0.9,0.44346579761023586,314.0,816.0,0.1389273795753208
1088,231.0,9.774891774891774,0.95,0.44135132611789063,279.0,851.0,0.15035160236141507
1089,231.0,9.783549783549784,1.0,0.45931307062026977,240.0,890.0,0.08623865112784221
1090,615.0,5.970731707317073,0.0,0.04504878542418372,1836.0,0.0,0.22193612211249408
1091,615.0,5.9609756097560975,0.2,0.12441227116794346,1606.0,230.0,0.19708972427743737
1092,615.0,5.964227642276422,0.4,0.2605208981905822,1326.0,510.0,0.16419325679405655
