,size,avg,pr,slope
512,736.0,56.0,0.5,0.4847976718163284
513,736.0,56.0,0.6000000000000001,0.49163049257613317
514,736.0,56.0,0.7000000000000001,0.49602017730221404
515,736.0,56.0,0.8,0.4915202213162512
516,736.0,56.0,0.9,0.49296476102098874
517,736.0,56.0,1.0,0.4924036082916444
518,535.0,44.0,0.0,0.01876595704685156
519,535.0,44.0,0.1,0.12039739557152693
520,535.0,44.0,0.2,0.21709104663350587
521,535.0,44.0,0.30000000000000004,0.32274228422915513
522,535.0,44.0,0.4,0.41517411849253494
523,535.0,44.0,0.5,0.48289950114534663
524,535.0,44.0,0.6000000000000001,0.4877003482945129
525,535.0,44.0,0.7000000000000001,0.4927710741540049
526,535.0,44.0,0.8,0.4974372000040025
527,535.0,44.0,0.9,0.49022883659305216
528,535.0,44.0,1.0,0.48847895695706833
529,921.0,54.0,0.0,0.013771887284167204
530,921.0,54.0,0.1,0.11302430591868691
531,921.0,54.0,0.2,0.2090616657167415
532,921.0,54.0,0.30000000000000004,0.30005676169997564
533,921.0,54.0,0.4,0.4090118118419248
534,921.0,54.0,0.5,0.47021740018671165
535,921.0,54.0,0.6000000000000001,0.4951941513399933
536,921.0,54.0,0.7000000000000001,0.49100954122059476
537,921.0,54.0,0.8,0.4962104160461422
538,921.0,54.0,0.9,0.4870646310907773
539,921.0,54.0,1.0,0.4981289240341539
540,752.0,22.0,0.0,0.010998455889237247
541,752.0,22.0,0.1,0.0914113792895346
542,752.0,22.0,0.2,0.1727173531496585
543,752.0,22.0,0.30000000000000004,0.265826869255353
544,752.0,22.0,0.4,0.3510532065931874
545,752.0,22.0,0.5,0.42878140619544325
546,752.0,22.0,0.6000000000000001,0.4595608544039422
547,752.0,22.0,0.7000000000000001,0.47060278739520356
548,752.0,22.0,0.8,0.46926915522571927
549,752.0,22.0,0.9,0.47140752141231257
550,752.0,22.0,1.0,0.4711984184560046
551,410.0,24.0,0.0,0.012017292427046607
552,410.0,24.0,0.1,0.1092903319503089
553,410.0,24.0,0.2,0.18507237377410168
554,410.0,24.0,0.30000000000000004,0.2795735198570138
555,410.0,24.0,0.4,0.36796695102916444
556,410.0,24.0,0.5,0.44768777572866
557,410.0,24.0,0.6000000000000001,0.47289076783564193
558,410.0,24.0,0.7000000000000001,0.4684738333464459
559,410.0,24.0,0.8,0.47010918908662563
560,410.0,24.0,0.9,0.48406864945407657
561,410.0,24.0,1.0,0.47657111727316537
562,992.0,12.0,0.0,0.0074125102454029885
563,992.0,12.0,0.1,0.08434673213125002
564,992.0,12.0,0.2,0.14942219405968818
565,992.0,12.0,0.30000000000000004,0.2141549597155191
566,992.0,12.0,0.4,0.28990698906571905
567,992.0,12.0,0.5,0.3387560376153525
568,992.0,12.0,0.6000000000000001,0.3791496787248846
569,992.0,12.0,0.7000000000000001,0.411871316895598
570,992.0,12.0,0.8,0.4225204437463347
571,992.0,12.0,0.9,0.4155478757064109
572,992.0,12.0,1.0,0.41557862058924916
573,276.0,32.0,0.0,0.025809128279745713
